0.015625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 13.025956153869629, 'RMSE_adversarial': 0.05167229473590851, 'RMSE_pred': 64.84666442871094, 'L0': tensor(23.)}
0.015625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 16.425060272216797, 'RMSE_adversarial': 0.07383857667446136, 'RMSE_pred': 64.54296875, 'L0': tensor(22.7273)}
0.015625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 9.402868270874023, 'RMSE_adversarial': 0.11308764666318893, 'RMSE_pred': 72.45391082763672, 'L0': tensor(22.9870)}
0.015625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.858503818511963, 'RMSE_adversarial': 0.1265679895877838, 'RMSE_pred': 74.46961975097656, 'L0': tensor(23.)}
0.015625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.856914520263672, 'RMSE_adversarial': 0.1288623958826065, 'RMSE_pred': 74.74467468261719, 'L0': tensor(23.)}
0.015625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 7.008852481842041, 'RMSE_adversarial': 0.13034206628799438, 'RMSE_pred': 75.22795867919922, 'L0': tensor(22.7143)}
0.015625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.412243366241455, 'RMSE_adversarial': 0.132437601685524, 'RMSE_pred': 74.90348815917969, 'L0': tensor(23.)}
0.015625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.197575569152832, 'RMSE_adversarial': 0.1412261724472046, 'RMSE_pred': 75.51972961425781, 'L0': tensor(22.9870)}
0.015625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.005316972732544, 'RMSE_adversarial': 0.14425736665725708, 'RMSE_pred': 75.48355865478516, 'L0': tensor(22.7013)}
0.0078125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 16.61347007751465, 'RMSE_adversarial': 0.04469084367156029, 'RMSE_pred': 61.52309036254883, 'L0': tensor(22.9870)}
0.0078125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 25.2835636138916, 'RMSE_adversarial': 0.05587642267346382, 'RMSE_pred': 55.917152404785156, 'L0': tensor(22.4156)}
0.0078125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 22.701204299926758, 'RMSE_adversarial': 0.07964590936899185, 'RMSE_pred': 62.30720138549805, 'L0': tensor(23.)}
0.0078125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 19.73952865600586, 'RMSE_adversarial': 0.09756830334663391, 'RMSE_pred': 66.45374298095703, 'L0': tensor(22.9870)}
0.0078125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 16.638607025146484, 'RMSE_adversarial': 0.10865015536546707, 'RMSE_pred': 71.45378112792969, 'L0': tensor(22.9740)}
0.0078125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 18.16944694519043, 'RMSE_adversarial': 0.1105169877409935, 'RMSE_pred': 71.56959533691406, 'L0': tensor(21.9870)}
0.0078125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 17.02780532836914, 'RMSE_adversarial': 0.11302606761455536, 'RMSE_pred': 72.9471664428711, 'L0': tensor(21.8052)}
0.0078125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 12.092949867248535, 'RMSE_adversarial': 0.12237635254859924, 'RMSE_pred': 74.82894134521484, 'L0': tensor(20.6623)}
0.0078125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.451603412628174, 'RMSE_adversarial': 0.1411292850971222, 'RMSE_pred': 75.6582260131836, 'L0': tensor(21.8052)}
0.00390625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 19.97686004638672, 'RMSE_adversarial': 0.03800584748387337, 'RMSE_pred': 57.97673416137695, 'L0': tensor(22.9740)}
0.00390625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 32.75088882446289, 'RMSE_adversarial': 0.029832644388079643, 'RMSE_pred': 48.32572555541992, 'L0': tensor(22.9740)}
0.00390625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 36.04478073120117, 'RMSE_adversarial': 0.04848187044262886, 'RMSE_pred': 50.52226638793945, 'L0': tensor(22.6104)}
0.00390625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 36.516441345214844, 'RMSE_adversarial': 0.06259644776582718, 'RMSE_pred': 54.66526412963867, 'L0': tensor(21.8312)}
0.00390625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 36.13286209106445, 'RMSE_adversarial': 0.07170206308364868, 'RMSE_pred': 57.23359298706055, 'L0': tensor(20.3766)}
0.00390625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 41.0755615234375, 'RMSE_adversarial': 0.07038846611976624, 'RMSE_pred': 56.66526412963867, 'L0': tensor(17.6234)}
0.00390625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 39.58903121948242, 'RMSE_adversarial': 0.0762040913105011, 'RMSE_pred': 59.26472473144531, 'L0': tensor(16.1169)}
0.00390625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 37.409095764160156, 'RMSE_adversarial': 0.08085358887910843, 'RMSE_pred': 59.980796813964844, 'L0': tensor(14.9351)}
0.00390625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 15.771570205688477, 'RMSE_adversarial': 0.11892303079366684, 'RMSE_pred': 72.00155639648438, 'L0': tensor(15.5195)}
0.001953125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 22.929454803466797, 'RMSE_adversarial': 0.03928374499082565, 'RMSE_pred': 56.13119125366211, 'L0': tensor(21.7532)}
0.001953125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 39.713584899902344, 'RMSE_adversarial': 0.021840550005435944, 'RMSE_pred': 43.587257385253906, 'L0': tensor(19.7013)}
0.001953125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 48.316715240478516, 'RMSE_adversarial': 0.023019058629870415, 'RMSE_pred': 39.56346130371094, 'L0': tensor(17.5584)}
0.001953125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 52.16025161743164, 'RMSE_adversarial': 0.025133619084954262, 'RMSE_pred': 39.90032958984375, 'L0': tensor(16.9091)}
0.001953125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 54.01582717895508, 'RMSE_adversarial': 0.03366907313466072, 'RMSE_pred': 41.585533142089844, 'L0': tensor(15.5455)}
0.001953125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 59.102134704589844, 'RMSE_adversarial': 0.036423638463020325, 'RMSE_pred': 42.5127067565918, 'L0': tensor(10.2468)}
0.001953125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 62.318687438964844, 'RMSE_adversarial': 0.03298581764101982, 'RMSE_pred': 39.54029846191406, 'L0': tensor(8.0519)}
0.001953125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 56.29996871948242, 'RMSE_adversarial': 0.04925307258963585, 'RMSE_pred': 46.55513381958008, 'L0': tensor(6.8831)}
0.001953125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 37.13642883300781, 'RMSE_adversarial': 0.08543212711811066, 'RMSE_pred': 61.60393524169922, 'L0': tensor(8.0519)}
0.0009765625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 31.693790435791016, 'RMSE_adversarial': 0.02914080210030079, 'RMSE_pred': 54.531620025634766, 'L0': tensor(15.9221)}
0.0009765625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 48.61661148071289, 'RMSE_adversarial': 0.013767709024250507, 'RMSE_pred': 40.24702072143555, 'L0': tensor(13.5455)}
0.0009765625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 57.040775299072266, 'RMSE_adversarial': 0.008556296117603779, 'RMSE_pred': 34.88579177856445, 'L0': tensor(11.4675)}
0.0009765625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 62.411537170410156, 'RMSE_adversarial': 0.005708709359169006, 'RMSE_pred': 31.926538467407227, 'L0': tensor(9.0649)}
0.0009765625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 64.82274627685547, 'RMSE_adversarial': 0.019110921770334244, 'RMSE_pred': 31.623184204101562, 'L0': tensor(6.9610)}
0.0009765625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 68.75296020507812, 'RMSE_adversarial': 0.01876865141093731, 'RMSE_pred': 31.437116622924805, 'L0': tensor(4.0779)}
